Token,Emotions,EmotionCount
betten,"neutral, sadness",2
–,"admiration, amusement, anger, annoyance, caring, confusion, curiosity, desire, disappointment, disapproval, disgust, excitement, fear, gratitude, joy, love, neutral, optimism, pride, realization, sadness",21
maries,"admiration, joy, neutral, sadness",4
gemacht,"admiration, neutral",2
überhaupt,"admiration, neutral, surprise",3
gefällt,"love, neutral, surprise",3
mault,"neutral, sadness",2
ecken,"disapproval, neutral",2
solle,"anger, annoyance, confusion, disgust, fear, gratitude, joy, neutral, surprise",9
erde,"admiration, anger, disappointment, embarrassment, fear, gratitude, joy, love, neutral, realization, sadness, surprise",12
freude,"admiration, approval, curiosity, desire, disgust, gratitude, joy, love, neutral, optimism, realization, sadness",12
sehnsucht,"confusion, neutral, surprise",3
freunden,"joy, neutral, surprise",3
herab,"admiration, neutral, realization, sadness",4
gefallen,"admiration, anger, annoyance, caring, joy, love, neutral, sadness",8
reinem,"admiration, neutral",2
feiert,"excitement, neutral",2
niemand,"admiration, annoyance, approval, caring, confusion, curiosity, disappointment, disapproval, joy, love, neutral, realization, sadness",13
beschließt,"anger, neutral",2
springt,"caring, gratitude, neutral",3
absichtlich,"neutral, sadness",2
verletzt,"confusion, neutral, sadness",3
selben,"admiration, love, neutral, realization",4
allerdings,"amusement, anger, annoyance, disgust, fear, neutral",6
völlig,"neutral, sadness",2
herausziehen,"joy, neutral",2
einziges,"annoyance, caring, love, neutral",4
ofen,"admiration, annoyance, neutral",3
hunger,"neutral, sadness",2
raben,"anger, annoyance, desire, disgust, fear, neutral, realization, surprise",8
zeige,"admiration, neutral",2
gute,"admiration, anger, desire, fear, gratitude, joy, neutral, realization, sadness, surprise",10
schlechte,"neutral, realization, sadness",3
erledigt,"admiration, neutral",2
widerwillig,"approval, desire, neutral, relief",4
schnee,"admiration, amusement, excitement, joy, neutral, realization, sadness",7
hofft,"neutral, optimism, sadness",3
schnell,"admiration, anger, approval, curiosity, disappointment, fear, gratitude, neutral, remorse, surprise",10
kissen,"caring, neutral",2
verdienten,"fear, neutral",2
schicken,"annoyance, neutral",2
kräht,"excitement, neutral",2
hahn,"admiration, amusement, approval, curiosity, disappointment, excitement, neutral, sadness",8
kikeriki,"amusement, excitement, neutral, sadness",4
hie,"neutral, sadness",2
dorfbewohner,"caring, fear, neutral",3
lachen,"amusement, annoyance, joy, love, neutral, sadness, surprise",7
früher,"caring, fear, neutral, sadness",4
neuer,"joy, neutral",2
ganz,"admiration, amusement, anger, annoyance, caring, curiosity, desire, fear, joy, love, neutral, pride, realization, sadness, surprise",15
hilfsbereitschaft,"admiration, neutral",2
guten,"admiration, annoyance, fear, gratitude, joy, neutral, sadness, surprise",8
tat,"admiration, anger, annoyance, approval, caring, confusion, joy, love, neutral, realization, remorse, sadness",12
stückchen,"admiration, neutral",2
pech,"annoyance, neutral, realization, sadness",4
golden,"admiration, neutral",2
vergaß,"admiration, neutral, realization",3
tut,"approval, caring, neutral, optimism, realization, sadness",6
helfen,"admiration, caring, desire, fear, love, nervousness, neutral, realization, relief, sadness, surprise",11
gleich,"admiration, anger, annoyance, fear, love, nervousness, neutral, sadness",8
’,"amusement, neutral, realization, sadness",4
jakob,"annoyance, approval, curiosity, embarrassment, love, neutral, realization, surprise",8
eigenen,"admiration, approval, curiosity, desire, fear, love, neutral, realization, sadness",9
beine,"amusement, annoyance, curiosity, neutral, pride, realization",6
steuereintreiber,"disapproval, neutral",2
entgegen,"fear, joy, love, neutral, realization, sadness",6
bauern,"anger, annoyance, disapproval, neutral",4
obwohl,"admiration, amusement, anger, annoyance, fear, love, neutral, sadness, surprise",9
je,"admiration, caring, joy, neutral, realization",5
räuber,"admiration, approval, curiosity, fear, neutral",5
gesehen,"admiration, disgust, joy, love, neutral, realization, sadness, surprise",8
kurzerhand,"caring, neutral",2
empfangen,"admiration, joy, neutral",3
stets,"admiration, annoyance, joy, neutral, realization, sadness",6
vermutet,"joy, neutral",2
brief,"admiration, anger, caring, fear, neutral, realization, surprise",7
schreiben,"disapproval, neutral, realization",3
bestimmt,"admiration, disappointment, gratitude, neutral",4
geführt,"anger, gratitude, neutral, sadness",4
tief,"admiration, caring, disgust, fear, gratitude, joy, love, neutral, realization",9
ehe,"admiration, disapproval, love, neutral, surprise",5
willigt,"joy, neutral",2
bedingung,"admiration, neutral",2
goldenen,"admiration, annoyance, caring, curiosity, desire, fear, joy, love, neutral, realization, surprise",11
haare,"admiration, caring, confusion, excitement, neutral, sadness",6
bringe,"admiration, gratitude, neutral",3
fragen,"annoyance, caring, curiosity, neutral",4
warum,"admiration, annoyance, confusion, curiosity, neutral, realization, sadness, surprise",8
wasser,"admiration, amusement, annoyance, caring, curiosity, desire, gratitude, joy, love, nervousness, neutral, realization, relief, sadness, surprise",15
hölle,"annoyance, caring, joy, neutral",4
angekommen,"admiration, approval, disappointment, joy, nervousness, neutral, surprise",7
gehalten,"caring, disappointment, disgust, joy, neutral",5
freut,"joy, neutral, surprise",3
streit,"disappointment, neutral, sadness",3
suppe,"admiration, neutral",2
rolle,"admiration, neutral",2
ziehen,"anger, annoyance, desire, fear, neutral",5
befindet,"embarrassment, neutral",2
esel,"admiration, approval, disappointment, disapproval, gratitude, neutral, realization, sadness",8
legen,"anger, neutral",2
ganzen,"admiration, amusement, anger, annoyance, caring, curiosity, excitement, grief, joy, neutral, sadness",11
gegessen,"admiration, curiosity, joy, neutral",4
weinfass,"gratitude, neutral",2
bräutigam,"love, neutral, sadness",3
getanzt,"admiration, neutral",2
hänsel,"admiration, anger, disgust, joy, neutral, realization, sadness",7
gretel,"anger, annoyance, caring, disappointment, joy, neutral, sadness",7
armen,"admiration, annoyance, joy, love, neutral, sadness",6
großer,"admiration, caring, fear, joy, love, neutral, surprise",7
armut,"admiration, disappointment, love, neutral, sadness",5
dadurch,"admiration, neutral",2
lage,"neutral, sadness",2
sorgen,"amusement, annoyance, caring, fear, joy, love, nervousness, neutral, realization",9
not,"approval, caring, disapproval, disgust, fear, gratitude, joy, love, neutral, optimism",10
größer,"admiration, fear, neutral, sadness",4
überredet,"neutral, relief",2
geschwister,"admiration, love, neutral, realization, sadness",5
frühe,"admiration, neutral",2
feuer,"admiration, amusement, anger, annoyance, approval, caring, curiosity, disgust, fear, love, neutral, realization, sadness",13
gesteckt,"fear, neutral",2
dämmerung,"neutral, realization",2
hoffnung,"desire, neutral, optimism, realization",4
gelegt,"love, neutral, realization",3
abends,"admiration, anger, desire, disapproval, fear, joy, love, neutral, realization, surprise",10
haustür,"love, neutral",2
schöner,"admiration, joy, neutral",3
vögel,"admiration, caring, joy, love, neutral, sadness",6
weile,"desire, disappointment, neutral, sadness",4
hungrig,"fear, neutral, sadness",3
verwundert,"neutral, surprise",2
anfangen,"annoyance, disappointment, fear, neutral, sadness",5
daran,"admiration, approval, curiosity, disappointment, fear, love, neutral, realization, sadness",9
hören,"curiosity, disappointment, joy, neutral, realization",5
stimme,"admiration, curiosity, disapproval, disgust, fear, joy, love, neutral, realization, sadness, surprise",11
antworten,"confusion, neutral",2
hexe,"admiration, amusement, anger, annoyance, caring, disgust, fear, neutral, realization, sadness",10
trotz,"admiration, approval, caring, disgust, gratitude, grief, joy, love, neutral, realization, surprise",11
besteht,"disapproval, neutral",2
einladung,"neutral, surprise",2
ahnen,"disapproval, neutral",2
mästen,"anger, neutral",2
backen,"admiration, neutral, sadness",3
entdecken,"admiration, caring, neutral",3
öffnen,"disappointment, neutral, optimism",3
edelsteine,"admiration, love, neutral",3
taschen,"neutral, sadness",2
voll,"admiration, annoyance, caring, confusion, desire, disappointment, joy, nervousness, neutral, realization, sadness",11
verlassen,"anger, caring, desire, embarrassment, grief, love, neutral, optimism, sadness",9
kehren,"neutral, sadness",2
lebens,"admiration, caring, grief, joy, love, neutral, realization, sadness",8
königreich,"admiration, amusement, confusion, desire, excitement, grief, joy, neutral, realization, sadness",10
jüngsten,"admiration, caring, fear, gratitude, neutral",5
schneeweißchen,"admiration, joy, love, neutral, optimism, relief, sadness",7
rosenrot,"admiration, annoyance, joy, love, neutral, relief",6
weißen,"admiration, joy, neutral, surprise",4
rose,"admiration, confusion, neutral",3
kleine,"admiration, annoyance, caring, confusion, curiosity, disgust, gratitude, love, neutral, sadness",10
verabschiedet,"love, neutral",2
töchtern,"disgust, embarrassment, neutral",3
leute,"admiration, amusement, anger, annoyance, curiosity, embarrassment, excitement, fear, love, neutral, realization, sadness",12
rosenöl,"neutral, sadness",2
schwestern,"admiration, anger, approval, caring, curiosity, disapproval, excitement, neutral, sadness",9
nahen,"approval, neutral",2
prinz,"admiration, annoyance, caring, curiosity, desire, disappointment, fear, gratitude, joy, love, neutral, realization, remorse, surprise",14
sohnes,"grief, neutral",2
zwerg,"annoyance, caring, curiosity, disapproval, disgust, fear, joy, neutral, realization, sadness, surprise",11
gewand,"admiration, desire, disappointment, love, neutral, realization",6
kaufmann,"admiration, anger, desire, gratitude, neutral",5
garstigen,"embarrassment, neutral",2
gesellen,"admiration, annoyance, neutral",3
ausgehängt,"curiosity, neutral",2
pferde,"admiration, caring, curiosity, disgust, fear, joy, neutral, sadness",8
stellen,"neutral, realization, remorse",3
zudem,"love, neutral, optimism",3
neben,"joy, love, neutral, realization, remorse, sadness",6
geburt,"fear, gratitude, neutral, sadness",4
verzauberte,"admiration, love, neutral",3
tor,"annoyance, joy, neutral",3
pflanzen,"caring, gratitude, neutral",3
unmöglich,"amusement, neutral, sadness",3
herzen,"admiration, annoyance, approval, caring, desire, excitement, fear, gratitude, joy, love, neutral, pride, realization, sadness, surprise",15
dürfen,"anger, neutral",2
eintreten,"neutral, sadness",2
prinzen,"admiration, anger, annoyance, approval, caring, desire, disappointment, fear, gratitude, grief, joy, love, neutral, optimism, realization, sadness, surprise",17
begegnen,"excitement, fear, neutral",3
bösen,"annoyance, disgust, joy, neutral, realization, relief, sadness",7
befreien,"love, neutral",2
beschimpft,"disappointment, neutral",2
schwert,"anger, disgust, neutral, realization, sadness",5
bären,"annoyance, neutral, realization",3
jagen,"disgust, neutral",2
durchstreifen,"admiration, neutral",2
wiederum,"admiration, anger, embarrassment, gratitude, neutral",5
notlage,"neutral, sadness",2
fisch,"caring, desire, neutral",3
schneidet,"caring, joy, neutral",3
dank,"gratitude, neutral",2
hohen,"disappointment, neutral",2
felsen,"admiration, disappointment, disgust, fear, neutral, sadness",6
erzählen,"annoyance, approval, joy, love, neutral, realization",6
gegenüber,"annoyance, approval, curiosity, neutral",4
langer,"admiration, disgust, neutral, realization",4
größte,"admiration, joy, neutral, pride",4
schatz,"admiration, anger, neutral, sadness",4
zwerges,"admiration, neutral",2
verwandeln,"admiration, neutral",2
klopft,"annoyance, neutral, surprise",3
tür,"admiration, caring, fear, love, neutral, sadness, surprise",7
bär,"admiration, annoyance, caring, fear, love, neutral, realization, sadness",8
dorthin,"fear, neutral",2
gesund,"admiration, curiosity, joy, love, neutral, relief, sadness",7
sprechen,"annoyance, caring, love, neutral, sadness",5
traut,"neutral, optimism, sadness",3
naht,"caring, desire, neutral, optimism",4
rosenhecke,"annoyance, desire, neutral",3
verschlungen,"neutral, realization",2
lag,"admiration, anger, curiosity, disappointment, fear, gratitude, nervousness, neutral, realization, sadness",10
löst,"admiration, love, neutral",3
abenteuer,"excitement, neutral",2
genauso,"admiration, love, neutral",3
zukunft,"gratitude, love, neutral, realization",4
gestiefelte,"annoyance, neutral",2
kater,"admiration, annoyance, desire, fear, gratitude, joy, neutral, sadness, surprise",9
eingegangen,"neutral, surprise",2
humpty,"fear, neutral, sadness",3
dumpty,"neutral, sadness",2
katze,"admiration, curiosity, disappointment, neutral",4
kitty,"fear, joy, neutral, sadness",4
bekannte,"admiration, love, neutral",3
goldene,"admiration, confusion, curiosity, desire, disappointment, excitement, gratitude, joy, love, neutral, optimism, realization, sadness",13
eier,"admiration, neutral",2
zauberbohnen,"gratitude, neutral",2
ranke,"caring, neutral",2
himmel,"admiration, anger, gratitude, joy, love, neutral, surprise",7
wachsen,"caring, fear, neutral",3
bohnen,"caring, neutral",2
gehören,"admiration, neutral, remorse",3
jack,"fear, neutral",2
jill,"fear, neutral",2
bewacht,"fear, neutral",2
einzige,"admiration, caring, curiosity, gratitude, neutral, realization",6
kämpfen,"admiration, neutral, realization",3
schwarze,"admiration, approval, desire, disgust, love, neutral, realization",7
entbrennt,"curiosity, neutral",2
samtpfote,"joy, neutral",2
entpuppt,"annoyance, neutral",2
freund,"amusement, anger, annoyance, fear, neutral, realization, sadness",7
alexander,"neutral, sadness",2
mithilfe,"admiration, neutral",2
schuld,"curiosity, disappointment, fear, grief, neutral, realization, remorse, sadness",8
lehnt,"disapproval, neutral",2
geschichte,"embarrassment, excitement, neutral, sadness",4
wächst,"admiration, curiosity, gratitude, joy, love, neutral",6
gründen,"curiosity, neutral",2
ziemlich,"curiosity, neutral",2
gerechtigkeit,"neutral, realization",2
moment,"amusement, disappointment, joy, neutral, realization, surprise",6
hut,"annoyance, neutral",2
stiefel,"neutral, surprise",2
bewundert,"admiration, neutral",2
nachts,"admiration, fear, neutral",3
sache,"annoyance, neutral, sadness",3
schulden,"approval, neutral, sadness",3
merkt,"neutral, realization",2
san-ricardo-bank,"admiration, neutral",2
auszurauben,"admiration, neutral",2
spät,"admiration, fear, neutral, surprise",4
flieht,"anger, disappointment, fear, neutral",4
festgenommen,"admiration, neutral",2
stimmt,"approval, neutral",2
verfolgen,"fear, neutral",2
entkommen,"annoyance, gratitude, neutral",3
gelangen,"fear, neutral, sadness",3
hoch,"joy, neutral, realization",3
riesen,"annoyance, neutral",2
verstorben,"grief, neutral",2
voller,"admiration, curiosity, disappointment, grief, joy, love, neutral, realization, sadness",9
goldener,"annoyance, neutral, realization",3
schrecken,"fear, neutral, realization",3
entführt,"neutral, sadness",2
knapp,"annoyance, neutral",2
schlafen,"admiration, anger, love, neutral",4
bewusstlos,"curiosity, neutral, sadness",3
geschlagen,"fear, neutral",2
gang,"gratitude, neutral",2
erlangt,"joy, neutral",2
reichtum,"annoyance, joy, love, neutral",4
laut,"admiration, amusement, anger, disappointment, neutral",5
verrat,"caring, neutral",2
früheren,"admiration, neutral",2
einst,"admiration, anger, curiosity, fear, gratitude, neutral, realization, surprise",8
goldenes,"admiration, anger, disappointment, neutral, realization, sadness",6
ei,"admiration, amusement, annoyance, neutral, realization, relief, sadness, surprise",8
steckt,"disgust, embarrassment, joy, neutral",4
gänsemutter,"neutral, realization",2
neuen,"admiration, annoyance, approval, curiosity, love, neutral, optimism, pride, realization, sadness",10
abenteuern,"admiration, neutral",2
bischof,"annoyance, neutral, sadness",3
seien,"disapproval, neutral, realization",3
berichtet,"admiration, neutral",2
lauter,"disappointment, joy, neutral, sadness",4
graf,"admiration, amusement, desire, fear, gratitude, joy, neutral, surprise",8
herzog,"joy, neutral",2
ja,"admiration, anger, annoyance, approval, caring, curiosity, joy, love, neutral, optimism, sadness, surprise",12
sagen,"admiration, anger, annoyance, confusion, fear, nervousness, neutral, realization, surprise",9
edelleute,"approval, neutral",2
thronsaal,"neutral, sadness",2
spitze,"approval, neutral",2
dick,"admiration, neutral",2
geschick,"amusement, caring, neutral",3
nein,"annoyance, approval, curiosity, disgust, fear, neutral, sadness",7
klein,"admiration, caring, disgust, gratitude, neutral",5
äußert,"gratitude, neutral",2
blass,"neutral, sadness",2
rot,"admiration, amusement, excitement, love, neutral, realization, sadness",7
holz,"admiration, disgust, gratitude, joy, neutral",5
beleidigt,"annoyance, neutral",2
schnabel,"amusement, neutral, sadness",3
gesang,"admiration, annoyance, love, neutral, sadness",5
spielmann,"approval, curiosity, embarrassment, joy, love, neutral, realization",7
herein,"admiration, annoyance, disappointment, disgust, fear, gratitude, joy, neutral, sadness, surprise",10
jammern,"desire, neutral, sadness",3
trauung,"neutral, sadness",2
vollzogen,"love, neutral, sadness",3
abschied,"neutral, optimism, realization, sadness",4
wünsche,"desire, gratitude, neutral",3
stolz,"admiration, curiosity, joy, neutral, pride, sadness",6
ablegen,"neutral, sadness",2
mahnt,"caring, love, neutral",3
denken,"neutral, surprise",2
liebe,"admiration, approval, caring, desire, disapproval, gratitude, joy, love, neutral, realization, sadness",11
hättest,"fear, neutral",2
wär,"admiration, disappointment, joy, neutral",4
antwort,"admiration, approval, disapproval, disgust, fear, grief, neutral, realization, surprise",9
wiese,"admiration, curiosity, neutral, remorse, sadness",5
weiteres,"admiration, disappointment, neutral",3
bedauert,"neutral, remorse",2
verschmäht,"annoyance, neutral",2
winzige,"curiosity, neutral",2
verlangt,"annoyance, disappointment, neutral",3
geduld,"neutral, realization",2
wunde,"admiration, neutral",2
hände,"admiration, anger, disapproval, disgust, neutral, realization, sadness",7
gekocht,"admiration, neutral",2
gern,"admiration, annoyance, curiosity, desire, love, neutral",6
missgeschick,"fear, neutral",2
ausgelacht,"neutral, pride",2
verspottete,"amusement, neutral",2
falsche,"caring, neutral, realization, sadness",4
angetan,"admiration, neutral, realization",3
fehlern,"love, neutral",2
geliebt,"love, neutral, realization",3
großes,"admiration, annoyance, caring, desire, disappointment, disgust, fear, joy, neutral, realization, remorse",11
unrecht,"admiration, annoyance, disapproval, love, neutral, realization",6
wert,"admiration, annoyance, confusion, joy, neutral, surprise",6
vorbei,"gratitude, joy, love, neutral, relief",5
feiern,"disappointment, joy, neutral",3
zweite,"admiration, confusion, curiosity, gratitude, neutral, optimism, surprise",7
martha,"admiration, neutral",2
lissi,"admiration, neutral",2
knecht,"admiration, neutral",2
wohnt,"caring, neutral",2
eitle,"annoyance, curiosity, neutral",3
felder,"admiration, disapproval, neutral",3
kommen,"admiration, anger, annoyance, approval, disgust, embarrassment, fear, gratitude, grief, love, nervousness, neutral, surprise",13
liebt,"love, neutral, sadness",3
bremen,"admiration, excitement, neutral",3
jahr,"admiration, amusement, caring, disapproval, disgust, fear, joy, neutral, sadness, surprise",10
see,"anger, fear, neutral, realization, sadness, surprise",6
vier,"disappointment, neutral",2
tiere,"admiration, anger, annoyance, approval, curiosity, disappointment, excitement, fear, gratitude, joy, neutral, realization, sadness",13
alt,"admiration, disappointment, disgust, neutral",4
wurst,"disapproval, neutral",2
verarbeiten,"disapproval, neutral",2
zwingt,"admiration, neutral",2
beschließen,"admiration, neutral, surprise",3
wandern,"excitement, neutral",2
suche,"admiration, desire, neutral",3
räubern,"anger, neutral",2
gezwungen,"anger, neutral",2
abdecker,"disapproval, neutral",2
tieren,"admiration, anger, caring, fear, gratitude, joy, neutral",7
flucht,"admiration, annoyance, caring, embarrassment, fear, neutral, sadness, surprise",8
gleichen,"admiration, love, neutral",3
rechten,"annoyance, approval, neutral",3
heiratet,"admiration, neutral",2
reiche,"admiration, desire, love, neutral",4
zertanzten,"admiration, neutral",2
schuhe,"admiration, annoyance, confusion, desire, neutral, sadness",6
zwölf,"admiration, amusement, confusion, disappointment, fear, joy, neutral",7
geschieht,"love, neutral",2
älteste,"admiration, amusement, fear, gratitude, neutral, optimism",6
amanda,"desire, joy, neutral",3
deren,"admiration, amusement, caring, curiosity, disgust, joy, neutral, realization, sadness",9
herausfinden,"annoyance, neutral",2
heimlich,"gratitude, love, neutral, surprise",4
geheimnis,"admiration, anger, annoyance, love, neutral, realization, sadness",7
nächten,"confusion, gratitude, neutral",3
melden,"fear, neutral",2
scharf,"admiration, neutral",2
soldaten,"anger, caring, desire, neutral, sadness",5
puppenspieler,"desire, neutral",2
anton,"desire, joy, neutral",3
tarnmantel,"gratitude, neutral",2
abendtrunk,"gratitude, neutral",2
frauen,"admiration, annoyance, joy, neutral",4
dreimal,"admiration, neutral",2
unbemerkt,"admiration, neutral, surprise",3
unterwelt,"neutral, realization",2
denkt,"curiosity, fear, neutral",3
prinzessinnen,"admiration, confusion, disgust, gratitude, joy, neutral, sadness",7
elf,"joy, neutral",2
erlösen,"approval, neutral",2
unglücklich,"neutral, sadness",2
zweige,"joy, neutral",2
heirat,"disapproval, embarrassment, neutral",3
treue,"caring, curiosity, joy, neutral, remorse, sadness",6
johannes,"admiration, caring, curiosity, neutral, realization, sadness",6
herr,"admiration, annoyance, approval, curiosity, fear, gratitude, joy, love, neutral, realization, sadness, surprise",12
all,"anger, confusion, curiosity, joy, love, neutral, realization, sadness",8
junger,"admiration, annoyance, caring, disappointment, love, neutral, realization",7
stirbt,"annoyance, approval, desire, neutral, realization, sadness",6
treuen,"annoyance, approval, neutral, sadness",4
diener,"admiration, curiosity, desire, love, neutral, realization, surprise",7
eiserne,"admiration, neutral",2
krone,"curiosity, disgust, love, neutral, realization, sadness",6
zauberkraft,"curiosity, disappointment, gratitude, love, neutral",5
stein,"admiration, curiosity, disappointment, disgust, fear, gratitude, neutral, sadness",8
sechs,"admiration, anger, annoyance, approval, excitement, joy, love, neutral, sadness",9
dienern,"gratitude, neutral",2
getreue,"admiration, caring, neutral, sadness",4
erzürnt,"admiration, annoyance, neutral",3
gefahren,"admiration, caring, curiosity, disgust, neutral",5
entgehen,"embarrassment, neutral",2
mahalena,"desire, neutral",2
rettung,"gratitude, neutral",2
ertränken,"gratitude, neutral",2
versinkt,"disappointment, neutral",2
verzweifelt,"love, neutral",2
vergeblich,"amusement, annoyance, desire, neutral, sadness",5
darum,"admiration, amusement, anger, annoyance, disgust, joy, neutral, realization",8
abzuhalten,"fear, neutral",2
gebrochen,"love, neutral, realization, sadness",4
art,"admiration, amusement, gratitude, joy, neutral, pride, realization",7
wolf,"admiration, amusement, anger, annoyance, curiosity, disgust, fear, joy, love, nervousness, neutral, sadness, surprise",13
valerie,"anger, joy, neutral, realization",4
seit,"admiration, amusement, disgust, embarrassment, fear, grief, love, neutral, sadness",9
holzfäller,"admiration, grief, neutral, sadness",4
peter,"joy, neutral",2
cesaire,"disappointment, neutral",2
henry,"admiration, neutral",2
schmieds,"neutral, sadness",2
adrien,"neutral, sadness",2
misslingt,"disapproval, neutral",2
werwolf,"anger, fear, neutral",3
unerwartet,"love, neutral, surprise",3
valeries,"neutral, sadness",2
lucie,"disappointment, neutral, sadness",3
tötet,"gratitude, neutral",2
wahrer,"love, neutral, realization",3
strecke,"anger, neutral",2
salomon,"caring, neutral",2
rufen,"admiration, caring, desire, neutral",4
gruppe,"love, neutral",2
scheint,"admiration, joy, neutral, sadness",4
erreicht,"admiration, disappointment, fear, neutral, sadness",5
wolfes,"caring, neutral",2
besseren,"amusement, neutral",2
bewohner,"admiration, fear, neutral",3
daggerhorns,"admiration, neutral",2
müsste,"admiration, annoyance, fear, neutral",4
eigener,"neutral, sadness",2
erfahrung,"neutral, sadness",2
besten,"anger, neutral",2
ermordet,"anger, disgust, neutral, sadness",4
steckte,"anger, neutral",2
fand,"admiration, confusion, desire, disapproval, fear, joy, love, neutral, optimism, realization, relief, remorse, sadness",13
zuhause,"approval, love, neutral, sadness",4
pfote,"love, neutral",2
zurückverwandelt,"neutral, realization",2
sah,"admiration, amusement, anger, annoyance, caring, curiosity, disappointment, disgust, embarrassment, excitement, fear, gratitude, joy, love, neutral, realization, sadness, surprise",18
töten,"admiration, anger, confusion, curiosity, disappointment, fear, gratitude, neutral, sadness",9
hinzu,"admiration, desire, love, neutral, remorse",5
werwolfs,"neutral, realization",2
glaube,"annoyance, curiosity, neutral, surprise",4
geschenkt,"caring, love, neutral",3
setzen,"annoyance, approval, fear, joy, neutral, realization, sadness",7
feier,"joy, neutral",2
fort,"admiration, anger, annoyance, approval, disappointment, disgust, embarrassment, fear, joy, love, neutral, sadness",12
näher,"caring, neutral",2
mehrere,"anger, neutral",2
ecke,"anger, curiosity, neutral",3
holen,"admiration, curiosity, disappointment, joy, neutral",5
daggerhorn,"fear, neutral",2
vernichten,"desire, neutral",2
dunkelbraun,"neutral, realization",2
verstehen,"approval, neutral",2
geistig,"annoyance, neutral",2
behinderten,"annoyance, neutral",2
jüngling,"admiration, anger, annoyance, caring, curiosity, neutral, realization, relief, remorse, sadness",10
vorwand,"fear, neutral",2
hexerei,"annoyance, gratitude, neutral",3
helfer,"annoyance, neutral",2
dienen,"caring, neutral",2
eingesperrt,"love, neutral",2
albtraum,"fear, neutral",2
eigene,"anger, neutral",2
großmutter,"admiration, annoyance, caring, curiosity, disgust, fear, gratitude, joy, love, neutral, realization, sadness, surprise",13
messer,"admiration, neutral",2
woraufhin,"anger, disappointment, love, neutral",4
bauch,"caring, curiosity, joy, neutral, sadness",5
läuft,"curiosity, gratitude, neutral, sadness",4
besseres,"admiration, neutral",2
verstand,"admiration, curiosity, grief, joy, love, neutral, sadness",7
konnte,"admiration, anger, annoyance, confusion, curiosity, disappointment, disapproval, disgust, fear, gratitude, joy, love, neutral, realization, relief, sadness, surprise",17
blut,"admiration, amusement, anger, disapproval, excitement, neutral, realization, sadness",8
fließen,"anger, neutral",2
fiel,"admiration, annoyance, joy, love, neutral, pride, sadness",7
her,"admiration, annoyance, disapproval, disgust, fear, joy, neutral",7
betrogen,"admiration, disappointment, neutral, sadness",4
verletzte,"neutral, sadness",2
kampf,"desire, fear, neutral, realization, sadness",5
axt,"confusion, neutral",2
rücken,"admiration, disgust, embarrassment, gratitude, neutral, realization",6
brust,"admiration, neutral",2
wahrheit,"admiration, gratitude, love, neutral, realization",5
schneiden,"anger, neutral",2
toten,"neutral, sadness",2
steinen,"gratitude, neutral",2
fürchtet,"admiration, caring, fear, neutral",4
furcht,"approval, curiosity, desire, fear, neutral, realization, sadness",7
fortan,"admiration, joy, neutral",3
endet,"disappointment, love, neutral",3
ansehen,"admiration, fear, neutral, surprise",4
lächeln,"admiration, joy, neutral, sadness",4
baby,"disgust, neutral",2
arm,"admiration, disgust, fear, joy, neutral, sadness",6
offensichtlich,"disapproval, neutral, surprise",3
bärenfell,"admiration, amusement, annoyance, disgust, neutral",5
marius,"admiration, amusement, love, neutral, realization",5
eitel,"admiration, neutral",2
binden,"anger, neutral",2
gerät,"annoyance, love, neutral, optimism, sadness",5
falle,"joy, love, neutral",3
aussehens,"gratitude, neutral",2
wahrhaftig,"love, neutral",2
leichtes,"fear, neutral",2
untier,"love, neutral, realization",3
belohnung,"admiration, gratitude, neutral",3
jagd,"admiration, anger, fear, neutral, realization",5
begegnete,"admiration, embarrassment, love, neutral, pride, realization",6
elise,"caring, neutral, realization, sadness",4
gesucht,"approval, neutral, sadness",3
versteckt,"love, neutral",2
pflegt,"joy, neutral",2
hälfte,"fear, neutral, realization, sadness",4
paul,"approval, love, neutral",3
jüngeren,"annoyance, neutral",2
till,"admiration, amusement, joy, neutral, sadness",5
dummling,"admiration, amusement, annoyance, neutral, realization, sadness",6
preis,"disappointment, embarrassment, neutral, realization",4
edeltraud,"joy, neutral",2
nichte,"joy, neutral",2
fahrt,"fear, neutral",2
kutsche,"admiration, disgust, joy, love, neutral, sadness",6
sorgt,"admiration, neutral",2
dafür,"admiration, anger, annoyance, caring, curiosity, disgust, embarrassment, fear, gratitude, neutral, sadness",11
leicht,"admiration, fear, neutral, optimism, realization, sadness",6
schlechter,"annoyance, neutral, sadness",3
aschekuchen,"gratitude, neutral",2
trotzdem,"annoyance, joy, neutral, sadness",4
teilt,"love, neutral",2
fall,"caring, neutral",2
wurzel,"confusion, gratitude, neutral",3
traurigen,"neutral, realization, sadness",3
schenken,"admiration, gratitude, neutral",3
geraten,"caring, disgust, neutral, sadness, surprise",5
pfarrer,"approval, embarrassment, neutral, realization, sadness, surprise",6
geriet,"amusement, annoyance, disapproval, disgust, neutral, sadness",6
menschenkette,"joy, neutral",2
gescheitert,"disappointment, neutral",2
erstbesten,"annoyance, neutral",2
sogleich,"curiosity, neutral, realization, sadness",4
weitere,"admiration, confusion, love, neutral",4
gierige,"joy, neutral",2
unbedingt,"annoyance, neutral",2
drängen,"caring, neutral",2
stürzt,"annoyance, curiosity, fear, nervousness, neutral",5
gelächter,"embarrassment, neutral",2
halbe,"amusement, fear, joy, neutral",4
kerker,"anger, gratitude, neutral",3
