Token,EmotionCount,Emotions
sauber,2,"admiration, neutral"
halten,5,"admiration, amusement, annoyance, neutral, realization"
blumen,2,"joy, neutral"
betten,2,"neutral, sadness"
–,21,"admiration, amusement, anger, annoyance, caring, confusion, curiosity, desire, disappointment, disapproval, disgust, excitement, fear, gratitude, joy, love, neutral, optimism, pride, realization, sadness"
maries,4,"admiration, joy, neutral, sadness"
gemacht,2,"admiration, neutral"
überhaupt,3,"admiration, neutral, surprise"
gefällt,3,"love, neutral, surprise"
mault,2,"neutral, sadness"
ecken,2,"disapproval, neutral"
solle,9,"anger, annoyance, confusion, disgust, fear, gratitude, joy, neutral, surprise"
erde,12,"admiration, anger, disappointment, embarrassment, fear, gratitude, joy, love, neutral, realization, sadness, surprise"
freude,12,"admiration, approval, curiosity, desire, disgust, gratitude, joy, love, neutral, optimism, realization, sadness"
sehnsucht,3,"confusion, neutral, surprise"
freunden,3,"joy, neutral, surprise"
herab,4,"admiration, neutral, realization, sadness"
gefallen,8,"admiration, anger, annoyance, caring, joy, love, neutral, sadness"
reinem,2,"admiration, neutral"
feiert,2,"excitement, neutral"
niemand,13,"admiration, annoyance, approval, caring, confusion, curiosity, disappointment, disapproval, joy, love, neutral, realization, sadness"
beschließt,2,"anger, neutral"
springt,3,"caring, gratitude, neutral"
absichtlich,2,"neutral, sadness"
verletzt,3,"confusion, neutral, sadness"
selben,4,"admiration, love, neutral, realization"
allerdings,6,"amusement, anger, annoyance, disgust, fear, neutral"
völlig,2,"neutral, sadness"
herausziehen,2,"joy, neutral"
einziges,4,"annoyance, caring, love, neutral"
ofen,3,"admiration, annoyance, neutral"
hunger,2,"neutral, sadness"
raben,8,"anger, annoyance, desire, disgust, fear, neutral, realization, surprise"
zeige,2,"admiration, neutral"
gute,10,"admiration, anger, desire, fear, gratitude, joy, neutral, realization, sadness, surprise"
schlechte,3,"neutral, realization, sadness"
erledigt,2,"admiration, neutral"
widerwillig,4,"approval, desire, neutral, relief"
schnee,7,"admiration, amusement, excitement, joy, neutral, realization, sadness"
hofft,3,"neutral, optimism, sadness"
schnell,10,"admiration, anger, approval, curiosity, disappointment, fear, gratitude, neutral, remorse, surprise"
kissen,2,"caring, neutral"
verdienten,2,"fear, neutral"
schicken,2,"annoyance, neutral"
kräht,2,"excitement, neutral"
hahn,8,"admiration, amusement, approval, curiosity, disappointment, excitement, neutral, sadness"
kikeriki,4,"amusement, excitement, neutral, sadness"
hie,2,"neutral, sadness"
dorfbewohner,3,"caring, fear, neutral"
lachen,7,"amusement, annoyance, joy, love, neutral, sadness, surprise"
früher,4,"caring, fear, neutral, sadness"
neuer,2,"joy, neutral"
ganz,15,"admiration, amusement, anger, annoyance, caring, curiosity, desire, fear, joy, love, neutral, pride, realization, sadness, surprise"
hilfsbereitschaft,2,"admiration, neutral"
guten,8,"admiration, annoyance, fear, gratitude, joy, neutral, sadness, surprise"
tat,12,"admiration, anger, annoyance, approval, caring, confusion, joy, love, neutral, realization, remorse, sadness"
stückchen,2,"admiration, neutral"
pech,4,"annoyance, neutral, realization, sadness"
golden,2,"admiration, neutral"
vergaß,3,"admiration, neutral, realization"
tut,6,"approval, caring, neutral, optimism, realization, sadness"
helfen,11,"admiration, caring, desire, fear, love, nervousness, neutral, realization, relief, sadness, surprise"
gleich,8,"admiration, anger, annoyance, fear, love, nervousness, neutral, sadness"
’,4,"amusement, neutral, realization, sadness"
jakob,8,"annoyance, approval, curiosity, embarrassment, love, neutral, realization, surprise"
eigenen,9,"admiration, approval, curiosity, desire, fear, love, neutral, realization, sadness"
beine,6,"amusement, annoyance, curiosity, neutral, pride, realization"
steuereintreiber,2,"disapproval, neutral"
entgegen,6,"fear, joy, love, neutral, realization, sadness"
bauern,4,"anger, annoyance, disapproval, neutral"
obwohl,9,"admiration, amusement, anger, annoyance, fear, love, neutral, sadness, surprise"
je,5,"admiration, caring, joy, neutral, realization"
räuber,5,"admiration, approval, curiosity, fear, neutral"
gesehen,8,"admiration, disgust, joy, love, neutral, realization, sadness, surprise"
kurzerhand,2,"caring, neutral"
empfangen,3,"admiration, joy, neutral"
stets,6,"admiration, annoyance, joy, neutral, realization, sadness"
vermutet,2,"joy, neutral"
brief,7,"admiration, anger, caring, fear, neutral, realization, surprise"
schreiben,3,"disapproval, neutral, realization"
bestimmt,4,"admiration, disappointment, gratitude, neutral"
geführt,4,"anger, gratitude, neutral, sadness"
tief,9,"admiration, caring, disgust, fear, gratitude, joy, love, neutral, realization"
ehe,5,"admiration, disapproval, love, neutral, surprise"
willigt,2,"joy, neutral"
bedingung,2,"admiration, neutral"
goldenen,11,"admiration, annoyance, caring, curiosity, desire, fear, joy, love, neutral, realization, surprise"
haare,6,"admiration, caring, confusion, excitement, neutral, sadness"
bringe,3,"admiration, gratitude, neutral"
fragen,4,"annoyance, caring, curiosity, neutral"
warum,8,"admiration, annoyance, confusion, curiosity, neutral, realization, sadness, surprise"
wasser,15,"admiration, amusement, annoyance, caring, curiosity, desire, gratitude, joy, love, nervousness, neutral, realization, relief, sadness, surprise"
hölle,4,"annoyance, caring, joy, neutral"
angekommen,7,"admiration, approval, disappointment, joy, nervousness, neutral, surprise"
gehalten,5,"caring, disappointment, disgust, joy, neutral"
freut,3,"joy, neutral, surprise"
streit,3,"disappointment, neutral, sadness"
suppe,2,"admiration, neutral"
rolle,2,"admiration, neutral"
ziehen,5,"anger, annoyance, desire, fear, neutral"
befindet,2,"embarrassment, neutral"
esel,8,"admiration, approval, disappointment, disapproval, gratitude, neutral, realization, sadness"
legen,2,"anger, neutral"
ganzen,11,"admiration, amusement, anger, annoyance, caring, curiosity, excitement, grief, joy, neutral, sadness"
gegessen,4,"admiration, curiosity, joy, neutral"
weinfass,2,"gratitude, neutral"
bräutigam,3,"love, neutral, sadness"
getanzt,2,"admiration, neutral"
hänsel,7,"admiration, anger, disgust, joy, neutral, realization, sadness"
gretel,7,"anger, annoyance, caring, disappointment, joy, neutral, sadness"
armen,6,"admiration, annoyance, joy, love, neutral, sadness"
großer,7,"admiration, caring, fear, joy, love, neutral, surprise"
armut,5,"admiration, disappointment, love, neutral, sadness"
dadurch,2,"admiration, neutral"
lage,2,"neutral, sadness"
sorgen,9,"amusement, annoyance, caring, fear, joy, love, nervousness, neutral, realization"
not,10,"approval, caring, disapproval, disgust, fear, gratitude, joy, love, neutral, optimism"
größer,4,"admiration, fear, neutral, sadness"
überredet,2,"neutral, relief"
geschwister,5,"admiration, love, neutral, realization, sadness"
frühe,2,"admiration, neutral"
feuer,13,"admiration, amusement, anger, annoyance, approval, caring, curiosity, disgust, fear, love, neutral, realization, sadness"
gesteckt,2,"fear, neutral"
dämmerung,2,"neutral, realization"
hoffnung,4,"desire, neutral, optimism, realization"
gelegt,3,"love, neutral, realization"
abends,10,"admiration, anger, desire, disapproval, fear, joy, love, neutral, realization, surprise"
haustür,2,"love, neutral"
schöner,3,"admiration, joy, neutral"
vögel,6,"admiration, caring, joy, love, neutral, sadness"
weile,4,"desire, disappointment, neutral, sadness"
hungrig,3,"fear, neutral, sadness"
verwundert,2,"neutral, surprise"
anfangen,5,"annoyance, disappointment, fear, neutral, sadness"
daran,9,"admiration, approval, curiosity, disappointment, fear, love, neutral, realization, sadness"
hören,5,"curiosity, disappointment, joy, neutral, realization"
stimme,11,"admiration, curiosity, disapproval, disgust, fear, joy, love, neutral, realization, sadness, surprise"
antworten,2,"confusion, neutral"
hexe,10,"admiration, amusement, anger, annoyance, caring, disgust, fear, neutral, realization, sadness"
trotz,11,"admiration, approval, caring, disgust, gratitude, grief, joy, love, neutral, realization, surprise"
besteht,2,"disapproval, neutral"
einladung,2,"neutral, surprise"
ahnen,2,"disapproval, neutral"
mästen,2,"anger, neutral"
backen,3,"admiration, neutral, sadness"
entdecken,3,"admiration, caring, neutral"
öffnen,3,"disappointment, neutral, optimism"
edelsteine,3,"admiration, love, neutral"
taschen,2,"neutral, sadness"
voll,11,"admiration, annoyance, caring, confusion, desire, disappointment, joy, nervousness, neutral, realization, sadness"
verlassen,9,"anger, caring, desire, embarrassment, grief, love, neutral, optimism, sadness"
kehren,2,"neutral, sadness"
lebens,8,"admiration, caring, grief, joy, love, neutral, realization, sadness"
königreich,10,"admiration, amusement, confusion, desire, excitement, grief, joy, neutral, realization, sadness"
jüngsten,5,"admiration, caring, fear, gratitude, neutral"
schneeweißchen,7,"admiration, joy, love, neutral, optimism, relief, sadness"
rosenrot,6,"admiration, annoyance, joy, love, neutral, relief"
weißen,4,"admiration, joy, neutral, surprise"
rose,3,"admiration, confusion, neutral"
kleine,10,"admiration, annoyance, caring, confusion, curiosity, disgust, gratitude, love, neutral, sadness"
verabschiedet,2,"love, neutral"
töchtern,3,"disgust, embarrassment, neutral"
leute,12,"admiration, amusement, anger, annoyance, curiosity, embarrassment, excitement, fear, love, neutral, realization, sadness"
rosenöl,2,"neutral, sadness"
schwestern,9,"admiration, anger, approval, caring, curiosity, disapproval, excitement, neutral, sadness"
nahen,2,"approval, neutral"
prinz,14,"admiration, annoyance, caring, curiosity, desire, disappointment, fear, gratitude, joy, love, neutral, realization, remorse, surprise"
sohnes,2,"grief, neutral"
zwerg,11,"annoyance, caring, curiosity, disapproval, disgust, fear, joy, neutral, realization, sadness, surprise"
gewand,6,"admiration, desire, disappointment, love, neutral, realization"
kaufmann,5,"admiration, anger, desire, gratitude, neutral"
garstigen,2,"embarrassment, neutral"
gesellen,3,"admiration, annoyance, neutral"
ausgehängt,2,"curiosity, neutral"
pferde,8,"admiration, caring, curiosity, disgust, fear, joy, neutral, sadness"
stellen,3,"neutral, realization, remorse"
zudem,3,"love, neutral, optimism"
neben,6,"joy, love, neutral, realization, remorse, sadness"
geburt,4,"fear, gratitude, neutral, sadness"
verzauberte,3,"admiration, love, neutral"
tor,3,"annoyance, joy, neutral"
pflanzen,3,"caring, gratitude, neutral"
unmöglich,3,"amusement, neutral, sadness"
herzen,15,"admiration, annoyance, approval, caring, desire, excitement, fear, gratitude, joy, love, neutral, pride, realization, sadness, surprise"
dürfen,2,"anger, neutral"
eintreten,2,"neutral, sadness"
prinzen,17,"admiration, anger, annoyance, approval, caring, desire, disappointment, fear, gratitude, grief, joy, love, neutral, optimism, realization, sadness, surprise"
begegnen,3,"excitement, fear, neutral"
bösen,7,"annoyance, disgust, joy, neutral, realization, relief, sadness"
befreien,2,"love, neutral"
beschimpft,2,"disappointment, neutral"
schwert,5,"anger, disgust, neutral, realization, sadness"
bären,3,"annoyance, neutral, realization"
jagen,2,"disgust, neutral"
durchstreifen,2,"admiration, neutral"
wiederum,5,"admiration, anger, embarrassment, gratitude, neutral"
notlage,2,"neutral, sadness"
fisch,3,"caring, desire, neutral"
schneidet,3,"caring, joy, neutral"
dank,2,"gratitude, neutral"
hohen,2,"disappointment, neutral"
felsen,6,"admiration, disappointment, disgust, fear, neutral, sadness"
erzählen,6,"annoyance, approval, joy, love, neutral, realization"
gegenüber,4,"annoyance, approval, curiosity, neutral"
langer,4,"admiration, disgust, neutral, realization"
größte,4,"admiration, joy, neutral, pride"
schatz,4,"admiration, anger, neutral, sadness"
zwerges,2,"admiration, neutral"
verwandeln,2,"admiration, neutral"
klopft,3,"annoyance, neutral, surprise"
tür,7,"admiration, caring, fear, love, neutral, sadness, surprise"
bär,8,"admiration, annoyance, caring, fear, love, neutral, realization, sadness"
dorthin,2,"fear, neutral"
gesund,7,"admiration, curiosity, joy, love, neutral, relief, sadness"
sprechen,5,"annoyance, caring, love, neutral, sadness"
traut,3,"neutral, optimism, sadness"
naht,4,"caring, desire, neutral, optimism"
rosenhecke,3,"annoyance, desire, neutral"
verschlungen,2,"neutral, realization"
lag,10,"admiration, anger, curiosity, disappointment, fear, gratitude, nervousness, neutral, realization, sadness"
löst,3,"admiration, love, neutral"
abenteuer,2,"excitement, neutral"
genauso,3,"admiration, love, neutral"
zukunft,4,"gratitude, love, neutral, realization"
gestiefelte,2,"annoyance, neutral"
kater,9,"admiration, annoyance, desire, fear, gratitude, joy, neutral, sadness, surprise"
eingegangen,2,"neutral, surprise"
humpty,3,"fear, neutral, sadness"
dumpty,2,"neutral, sadness"
katze,4,"admiration, curiosity, disappointment, neutral"
kitty,4,"fear, joy, neutral, sadness"
bekannte,3,"admiration, love, neutral"
goldene,13,"admiration, confusion, curiosity, desire, disappointment, excitement, gratitude, joy, love, neutral, optimism, realization, sadness"
eier,2,"admiration, neutral"
zauberbohnen,2,"gratitude, neutral"
ranke,2,"caring, neutral"
himmel,7,"admiration, anger, gratitude, joy, love, neutral, surprise"
wachsen,3,"caring, fear, neutral"
bohnen,2,"caring, neutral"
gehören,3,"admiration, neutral, remorse"
jack,2,"fear, neutral"
jill,2,"fear, neutral"
bewacht,2,"fear, neutral"
einzige,6,"admiration, caring, curiosity, gratitude, neutral, realization"
kämpfen,3,"admiration, neutral, realization"
schwarze,7,"admiration, approval, desire, disgust, love, neutral, realization"
entbrennt,2,"curiosity, neutral"
samtpfote,2,"joy, neutral"
entpuppt,2,"annoyance, neutral"
freund,7,"amusement, anger, annoyance, fear, neutral, realization, sadness"
alexander,2,"neutral, sadness"
mithilfe,2,"admiration, neutral"
schuld,8,"curiosity, disappointment, fear, grief, neutral, realization, remorse, sadness"
lehnt,2,"disapproval, neutral"
geschichte,4,"embarrassment, excitement, neutral, sadness"
wächst,6,"admiration, curiosity, gratitude, joy, love, neutral"
gründen,2,"curiosity, neutral"
ziemlich,2,"curiosity, neutral"
gerechtigkeit,2,"neutral, realization"
moment,6,"amusement, disappointment, joy, neutral, realization, surprise"
hut,2,"annoyance, neutral"
stiefel,2,"neutral, surprise"
bewundert,2,"admiration, neutral"
nachts,3,"admiration, fear, neutral"
sache,3,"annoyance, neutral, sadness"
schulden,3,"approval, neutral, sadness"
merkt,2,"neutral, realization"
san-ricardo-bank,2,"admiration, neutral"
auszurauben,2,"admiration, neutral"
spät,4,"admiration, fear, neutral, surprise"
flieht,4,"anger, disappointment, fear, neutral"
festgenommen,2,"admiration, neutral"
stimmt,2,"approval, neutral"
verfolgen,2,"fear, neutral"
entkommen,3,"annoyance, gratitude, neutral"
gelangen,3,"fear, neutral, sadness"
hoch,3,"joy, neutral, realization"
riesen,2,"annoyance, neutral"
verstorben,2,"grief, neutral"
voller,9,"admiration, curiosity, disappointment, grief, joy, love, neutral, realization, sadness"
goldener,3,"annoyance, neutral, realization"
schrecken,3,"fear, neutral, realization"
entführt,2,"neutral, sadness"
knapp,2,"annoyance, neutral"
schlafen,4,"admiration, anger, love, neutral"
bewusstlos,3,"curiosity, neutral, sadness"
geschlagen,2,"fear, neutral"
gang,2,"gratitude, neutral"
erlangt,2,"joy, neutral"
reichtum,4,"annoyance, joy, love, neutral"
laut,5,"admiration, amusement, anger, disappointment, neutral"
verrat,2,"caring, neutral"
früheren,2,"admiration, neutral"
einst,8,"admiration, anger, curiosity, fear, gratitude, neutral, realization, surprise"
goldenes,6,"admiration, anger, disappointment, neutral, realization, sadness"
ei,8,"admiration, amusement, annoyance, neutral, realization, relief, sadness, surprise"
steckt,4,"disgust, embarrassment, joy, neutral"
gänsemutter,2,"neutral, realization"
neuen,10,"admiration, annoyance, approval, curiosity, love, neutral, optimism, pride, realization, sadness"
abenteuern,2,"admiration, neutral"
bischof,3,"annoyance, neutral, sadness"
seien,3,"disapproval, neutral, realization"
berichtet,2,"admiration, neutral"
lauter,4,"disappointment, joy, neutral, sadness"
graf,8,"admiration, amusement, desire, fear, gratitude, joy, neutral, surprise"
herzog,2,"joy, neutral"
ja,12,"admiration, anger, annoyance, approval, caring, curiosity, joy, love, neutral, optimism, sadness, surprise"
sagen,9,"admiration, anger, annoyance, confusion, fear, nervousness, neutral, realization, surprise"
edelleute,2,"approval, neutral"
thronsaal,2,"neutral, sadness"
spitze,2,"approval, neutral"
dick,2,"admiration, neutral"
geschick,3,"amusement, caring, neutral"
nein,7,"annoyance, approval, curiosity, disgust, fear, neutral, sadness"
klein,5,"admiration, caring, disgust, gratitude, neutral"
äußert,2,"gratitude, neutral"
blass,2,"neutral, sadness"
rot,7,"admiration, amusement, excitement, love, neutral, realization, sadness"
holz,5,"admiration, disgust, gratitude, joy, neutral"
beleidigt,2,"annoyance, neutral"
schnabel,3,"amusement, neutral, sadness"
gesang,5,"admiration, annoyance, love, neutral, sadness"
spielmann,7,"approval, curiosity, embarrassment, joy, love, neutral, realization"
herein,10,"admiration, annoyance, disappointment, disgust, fear, gratitude, joy, neutral, sadness, surprise"
jammern,3,"desire, neutral, sadness"
trauung,2,"neutral, sadness"
vollzogen,3,"love, neutral, sadness"
abschied,4,"neutral, optimism, realization, sadness"
wünsche,3,"desire, gratitude, neutral"
stolz,6,"admiration, curiosity, joy, neutral, pride, sadness"
ablegen,2,"neutral, sadness"
mahnt,3,"caring, love, neutral"
denken,2,"neutral, surprise"
liebe,11,"admiration, approval, caring, desire, disapproval, gratitude, joy, love, neutral, realization, sadness"
hättest,2,"fear, neutral"
wär,4,"admiration, disappointment, joy, neutral"
antwort,9,"admiration, approval, disapproval, disgust, fear, grief, neutral, realization, surprise"
wiese,5,"admiration, curiosity, neutral, remorse, sadness"
weiteres,3,"admiration, disappointment, neutral"
bedauert,2,"neutral, remorse"
verschmäht,2,"annoyance, neutral"
winzige,2,"curiosity, neutral"
verlangt,3,"annoyance, disappointment, neutral"
geduld,2,"neutral, realization"
wunde,2,"admiration, neutral"
hände,7,"admiration, anger, disapproval, disgust, neutral, realization, sadness"
gekocht,2,"admiration, neutral"
gern,6,"admiration, annoyance, curiosity, desire, love, neutral"
missgeschick,2,"fear, neutral"
ausgelacht,2,"neutral, pride"
verspottete,2,"amusement, neutral"
falsche,4,"caring, neutral, realization, sadness"
angetan,3,"admiration, neutral, realization"
fehlern,2,"love, neutral"
geliebt,3,"love, neutral, realization"
großes,11,"admiration, annoyance, caring, desire, disappointment, disgust, fear, joy, neutral, realization, remorse"
unrecht,6,"admiration, annoyance, disapproval, love, neutral, realization"
wert,6,"admiration, annoyance, confusion, joy, neutral, surprise"
vorbei,5,"gratitude, joy, love, neutral, relief"
feiern,3,"disappointment, joy, neutral"
zweite,7,"admiration, confusion, curiosity, gratitude, neutral, optimism, surprise"
martha,2,"admiration, neutral"
lissi,2,"admiration, neutral"
knecht,2,"admiration, neutral"
wohnt,2,"caring, neutral"
eitle,3,"annoyance, curiosity, neutral"
felder,3,"admiration, disapproval, neutral"
kommen,13,"admiration, anger, annoyance, approval, disgust, embarrassment, fear, gratitude, grief, love, nervousness, neutral, surprise"
liebt,3,"love, neutral, sadness"
bremen,3,"admiration, excitement, neutral"
jahr,10,"admiration, amusement, caring, disapproval, disgust, fear, joy, neutral, sadness, surprise"
see,6,"anger, fear, neutral, realization, sadness, surprise"
vier,2,"disappointment, neutral"
tiere,13,"admiration, anger, annoyance, approval, curiosity, disappointment, excitement, fear, gratitude, joy, neutral, realization, sadness"
alt,4,"admiration, disappointment, disgust, neutral"
wurst,2,"disapproval, neutral"
verarbeiten,2,"disapproval, neutral"
zwingt,2,"admiration, neutral"
beschließen,3,"admiration, neutral, surprise"
wandern,2,"excitement, neutral"
suche,3,"admiration, desire, neutral"
räubern,2,"anger, neutral"
gezwungen,2,"anger, neutral"
abdecker,2,"disapproval, neutral"
tieren,7,"admiration, anger, caring, fear, gratitude, joy, neutral"
flucht,8,"admiration, annoyance, caring, embarrassment, fear, neutral, sadness, surprise"
gleichen,3,"admiration, love, neutral"
rechten,3,"annoyance, approval, neutral"
heiratet,2,"admiration, neutral"
reiche,4,"admiration, desire, love, neutral"
zertanzten,2,"admiration, neutral"
schuhe,6,"admiration, annoyance, confusion, desire, neutral, sadness"
zwölf,7,"admiration, amusement, confusion, disappointment, fear, joy, neutral"
geschieht,2,"love, neutral"
älteste,6,"admiration, amusement, fear, gratitude, neutral, optimism"
amanda,3,"desire, joy, neutral"
deren,9,"admiration, amusement, caring, curiosity, disgust, joy, neutral, realization, sadness"
herausfinden,2,"annoyance, neutral"
heimlich,4,"gratitude, love, neutral, surprise"
geheimnis,7,"admiration, anger, annoyance, love, neutral, realization, sadness"
nächten,3,"confusion, gratitude, neutral"
melden,2,"fear, neutral"
scharf,2,"admiration, neutral"
soldaten,5,"anger, caring, desire, neutral, sadness"
puppenspieler,2,"desire, neutral"
anton,3,"desire, joy, neutral"
tarnmantel,2,"gratitude, neutral"
abendtrunk,2,"gratitude, neutral"
frauen,4,"admiration, annoyance, joy, neutral"
dreimal,2,"admiration, neutral"
unbemerkt,3,"admiration, neutral, surprise"
unterwelt,2,"neutral, realization"
denkt,3,"curiosity, fear, neutral"
prinzessinnen,7,"admiration, confusion, disgust, gratitude, joy, neutral, sadness"
elf,2,"joy, neutral"
erlösen,2,"approval, neutral"
unglücklich,2,"neutral, sadness"
zweige,2,"joy, neutral"
heirat,3,"disapproval, embarrassment, neutral"
treue,6,"caring, curiosity, joy, neutral, remorse, sadness"
johannes,6,"admiration, caring, curiosity, neutral, realization, sadness"
herr,12,"admiration, annoyance, approval, curiosity, fear, gratitude, joy, love, neutral, realization, sadness, surprise"
all,8,"anger, confusion, curiosity, joy, love, neutral, realization, sadness"
junger,7,"admiration, annoyance, caring, disappointment, love, neutral, realization"
stirbt,6,"annoyance, approval, desire, neutral, realization, sadness"
treuen,4,"annoyance, approval, neutral, sadness"
diener,7,"admiration, curiosity, desire, love, neutral, realization, surprise"
eiserne,2,"admiration, neutral"
krone,6,"curiosity, disgust, love, neutral, realization, sadness"
zauberkraft,5,"curiosity, disappointment, gratitude, love, neutral"
stein,8,"admiration, curiosity, disappointment, disgust, fear, gratitude, neutral, sadness"
sechs,9,"admiration, anger, annoyance, approval, excitement, joy, love, neutral, sadness"
dienern,2,"gratitude, neutral"
getreue,4,"admiration, caring, neutral, sadness"
erzürnt,3,"admiration, annoyance, neutral"
gefahren,5,"admiration, caring, curiosity, disgust, neutral"
entgehen,2,"embarrassment, neutral"
mahalena,2,"desire, neutral"
rettung,2,"gratitude, neutral"
ertränken,2,"gratitude, neutral"
versinkt,2,"disappointment, neutral"
verzweifelt,2,"love, neutral"
vergeblich,5,"amusement, annoyance, desire, neutral, sadness"
darum,8,"admiration, amusement, anger, annoyance, disgust, joy, neutral, realization"
abzuhalten,2,"fear, neutral"
gebrochen,4,"love, neutral, realization, sadness"
art,7,"admiration, amusement, gratitude, joy, neutral, pride, realization"
wolf,13,"admiration, amusement, anger, annoyance, curiosity, disgust, fear, joy, love, nervousness, neutral, sadness, surprise"
valerie,4,"anger, joy, neutral, realization"
seit,9,"admiration, amusement, disgust, embarrassment, fear, grief, love, neutral, sadness"
holzfäller,4,"admiration, grief, neutral, sadness"
peter,2,"joy, neutral"
cesaire,2,"disappointment, neutral"
henry,2,"admiration, neutral"
schmieds,2,"neutral, sadness"
adrien,2,"neutral, sadness"
misslingt,2,"disapproval, neutral"
werwolf,3,"anger, fear, neutral"
unerwartet,3,"love, neutral, surprise"
valeries,2,"neutral, sadness"
lucie,3,"disappointment, neutral, sadness"
tötet,2,"gratitude, neutral"
wahrer,3,"love, neutral, realization"
strecke,2,"anger, neutral"
salomon,2,"caring, neutral"
rufen,4,"admiration, caring, desire, neutral"
gruppe,2,"love, neutral"
scheint,4,"admiration, joy, neutral, sadness"
erreicht,5,"admiration, disappointment, fear, neutral, sadness"
wolfes,2,"caring, neutral"
besseren,2,"amusement, neutral"
bewohner,3,"admiration, fear, neutral"
daggerhorns,2,"admiration, neutral"
müsste,4,"admiration, annoyance, fear, neutral"
eigener,2,"neutral, sadness"
erfahrung,2,"neutral, sadness"
besten,2,"anger, neutral"
ermordet,4,"anger, disgust, neutral, sadness"
steckte,2,"anger, neutral"
fand,13,"admiration, confusion, desire, disapproval, fear, joy, love, neutral, optimism, realization, relief, remorse, sadness"
zuhause,4,"approval, love, neutral, sadness"
pfote,2,"love, neutral"
zurückverwandelt,2,"neutral, realization"
sah,18,"admiration, amusement, anger, annoyance, caring, curiosity, disappointment, disgust, embarrassment, excitement, fear, gratitude, joy, love, neutral, realization, sadness, surprise"
töten,9,"admiration, anger, confusion, curiosity, disappointment, fear, gratitude, neutral, sadness"
hinzu,5,"admiration, desire, love, neutral, remorse"
werwolfs,2,"neutral, realization"
glaube,4,"annoyance, curiosity, neutral, surprise"
geschenkt,3,"caring, love, neutral"
setzen,7,"annoyance, approval, fear, joy, neutral, realization, sadness"
feier,2,"joy, neutral"
fort,12,"admiration, anger, annoyance, approval, disappointment, disgust, embarrassment, fear, joy, love, neutral, sadness"
näher,2,"caring, neutral"
mehrere,2,"anger, neutral"
ecke,3,"anger, curiosity, neutral"
holen,5,"admiration, curiosity, disappointment, joy, neutral"
daggerhorn,2,"fear, neutral"
vernichten,2,"desire, neutral"
dunkelbraun,2,"neutral, realization"
verstehen,2,"approval, neutral"
geistig,2,"annoyance, neutral"
behinderten,2,"annoyance, neutral"
jüngling,10,"admiration, anger, annoyance, caring, curiosity, neutral, realization, relief, remorse, sadness"
vorwand,2,"fear, neutral"
hexerei,3,"annoyance, gratitude, neutral"
helfer,2,"annoyance, neutral"
dienen,2,"caring, neutral"
eingesperrt,2,"love, neutral"
albtraum,2,"fear, neutral"
eigene,2,"anger, neutral"
großmutter,13,"admiration, annoyance, caring, curiosity, disgust, fear, gratitude, joy, love, neutral, realization, sadness, surprise"
messer,2,"admiration, neutral"
woraufhin,4,"anger, disappointment, love, neutral"
bauch,5,"caring, curiosity, joy, neutral, sadness"
läuft,4,"curiosity, gratitude, neutral, sadness"
besseres,2,"admiration, neutral"
verstand,7,"admiration, curiosity, grief, joy, love, neutral, sadness"
konnte,17,"admiration, anger, annoyance, confusion, curiosity, disappointment, disapproval, disgust, fear, gratitude, joy, love, neutral, realization, relief, sadness, surprise"
blut,8,"admiration, amusement, anger, disapproval, excitement, neutral, realization, sadness"
fließen,2,"anger, neutral"
fiel,7,"admiration, annoyance, joy, love, neutral, pride, sadness"
her,7,"admiration, annoyance, disapproval, disgust, fear, joy, neutral"
betrogen,4,"admiration, disappointment, neutral, sadness"
verletzte,2,"neutral, sadness"
kampf,5,"desire, fear, neutral, realization, sadness"
axt,2,"confusion, neutral"
rücken,6,"admiration, disgust, embarrassment, gratitude, neutral, realization"
brust,2,"admiration, neutral"
wahrheit,5,"admiration, gratitude, love, neutral, realization"
schneiden,2,"anger, neutral"
toten,2,"neutral, sadness"
steinen,2,"gratitude, neutral"
fürchtet,4,"admiration, caring, fear, neutral"
furcht,7,"approval, curiosity, desire, fear, neutral, realization, sadness"
fortan,3,"admiration, joy, neutral"
endet,3,"disappointment, love, neutral"
ansehen,4,"admiration, fear, neutral, surprise"
lächeln,4,"admiration, joy, neutral, sadness"
baby,2,"disgust, neutral"
arm,6,"admiration, disgust, fear, joy, neutral, sadness"
offensichtlich,3,"disapproval, neutral, surprise"
bärenfell,5,"admiration, amusement, annoyance, disgust, neutral"
marius,5,"admiration, amusement, love, neutral, realization"
eitel,2,"admiration, neutral"
binden,2,"anger, neutral"
gerät,5,"annoyance, love, neutral, optimism, sadness"
falle,3,"joy, love, neutral"
aussehens,2,"gratitude, neutral"
wahrhaftig,2,"love, neutral"
leichtes,2,"fear, neutral"
untier,3,"love, neutral, realization"
belohnung,3,"admiration, gratitude, neutral"
jagd,5,"admiration, anger, fear, neutral, realization"
begegnete,6,"admiration, embarrassment, love, neutral, pride, realization"
elise,4,"caring, neutral, realization, sadness"
gesucht,3,"approval, neutral, sadness"
versteckt,2,"love, neutral"
pflegt,2,"joy, neutral"
hälfte,4,"fear, neutral, realization, sadness"
paul,3,"approval, love, neutral"
jüngeren,2,"annoyance, neutral"
till,5,"admiration, amusement, joy, neutral, sadness"
dummling,6,"admiration, amusement, annoyance, neutral, realization, sadness"
preis,4,"disappointment, embarrassment, neutral, realization"
edeltraud,2,"joy, neutral"
